year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2022,ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
2022,A.R. MOTOR,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,48
2022,ARNA ELECTRIC AUTO PVT LTD,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,344
2022,ARROW AUTOMOTIVE,0,0,0,0,"2,782",0,0,0,0,3,0,0,0,0,0,0,"2,785"
2022,ASAV AUTOMOTIVE PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022,ASHA IMPEX,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,61
2022,ASHA METAL INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2022,ASHMA-MOTORS PVT LTD,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,294
2022,"ASHOK FABRIC & ENGG,RAIRAKHOL",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
2022,ASHOK LEYLAND DEFENCE SYSTEMS LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,100
2022,ASHOK LEYLAND LTD,0,0,0,0,0,0,"82,317",301,"4,700","51,104",80,370,"3,092",38,953,308,"1,43,263"
2022,ASHWA ELECTRIC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022,ASIA BODY BUILDERS & MANUFACTURERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,ASSAM FABRICATION WORKS,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,37
2022,ASSAM SAII MOTORS P LTD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2022,ASTON MARTIN LAGONDA LTD,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8
2022,ATHER ENERGY PVT LTD,1,"51,775",33,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,809"
2022,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,456
2022,ATUL AUTO LTD,0,0,0,17,"18,264",0,0,0,0,341,0,0,0,0,0,103,"18,725"
